period,fiscal_year,fiscal_quarter,entity,bu,account_code,account_name,account_category,amount_usd_mn,source
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-44.389,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-6.291,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.413,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.292,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.826,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-1.913,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.317,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.168,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.472,HFM
2023-01,FY2023,Q1,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.24,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,83.042,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,34.373,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-65.204,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-9.234,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.478,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,6300,R&D,Opex,-4.76,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,6400,Travel,Opex,-1.219,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-2.851,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,6600,General & Admin,Opex,-1.947,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,7100,Depreciation,D&A,-5.871,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.576,HFM
2023-02,FY2023,Q1,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.232,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,111.499,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,48.72,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-90.246,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-13.222,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,6200,Marketing,Opex,-4.996,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,6300,R&D,Opex,-6.53,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,6400,Travel,Opex,-1.676,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-4.052,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.584,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.445,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-5.052,HFM
2023-02,FY2023,Q1,GRP-AUTO,Automotive,9100,Income Tax,Tax,-10.29,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,55.335,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,23.952,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-45.809,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-6.416,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.514,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.198,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.808,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-1.933,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.35,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.171,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.425,HFM
2023-02,FY2023,Q1,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.24,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,80.21,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,36.609,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-63.39,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-9.804,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.64,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,6300,R&D,Opex,-4.901,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,6400,Travel,Opex,-1.213,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-2.871,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,6600,General & Admin,Opex,-1.865,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,7100,Depreciation,D&A,-6.087,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.657,HFM
2023-03,FY2023,Q1,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.314,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,118.194,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,51.703,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-90.836,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-13.82,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,6200,Marketing,Opex,-5.19,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,6300,R&D,Opex,-6.566,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,6400,Travel,Opex,-1.674,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-3.844,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.613,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.413,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-5.112,HFM
2023-03,FY2023,Q1,GRP-AUTO,Automotive,9100,Income Tax,Tax,-10.724,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,59.869,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,25.821,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-46.581,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-6.745,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.551,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.346,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.84,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-2.044,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.383,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.098,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.435,HFM
2023-03,FY2023,Q1,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.284,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,82.37,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,35.263,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-66.455,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-9.561,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.6,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,6300,R&D,Opex,-4.85,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,6400,Travel,Opex,-1.171,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-2.916,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,6600,General & Admin,Opex,-1.893,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,7100,Depreciation,D&A,-5.953,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.682,HFM
2023-04,FY2023,Q2,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.335,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,115.003,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,49.972,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-89.595,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-13.985,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,6200,Marketing,Opex,-5.116,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,6300,R&D,Opex,-6.846,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,6400,Travel,Opex,-1.688,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-4.079,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.673,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.641,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-4.995,HFM
2023-04,FY2023,Q2,GRP-AUTO,Automotive,9100,Income Tax,Tax,-10.324,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,57.644,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,24.47,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-46.486,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-6.713,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.542,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.269,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.826,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-1.981,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.334,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.177,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.477,HFM
2023-04,FY2023,Q2,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.387,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,85.852,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,38.162,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-69.033,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-10.164,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.526,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,6300,R&D,Opex,-4.96,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,6400,Travel,Opex,-1.218,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-3.031,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,6600,General & Admin,Opex,-1.975,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,7100,Depreciation,D&A,-6.177,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.805,HFM
2023-05,FY2023,Q2,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.758,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,118.182,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,53.095,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-97.561,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-13.578,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,6200,Marketing,Opex,-5.155,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,6300,R&D,Opex,-6.732,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,6400,Travel,Opex,-1.769,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-4.217,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.713,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.772,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-5.116,HFM
2023-05,FY2023,Q2,GRP-AUTO,Automotive,9100,Income Tax,Tax,-10.315,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,61.86,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,25.061,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-47.156,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-7.097,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.501,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.551,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.859,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-1.974,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.323,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.34,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.626,HFM
2023-05,FY2023,Q2,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.509,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,86.274,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,36.021,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-68.406,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-10.081,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.862,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,6300,R&D,Opex,-5.069,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,6400,Travel,Opex,-1.255,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-3.081,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,6600,General & Admin,Opex,-2.023,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,7100,Depreciation,D&A,-6.028,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.708,HFM
2023-06,FY2023,Q2,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.646,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,117.51,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,50.223,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-97.727,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-13.953,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,6200,Marketing,Opex,-5.239,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,6300,R&D,Opex,-6.793,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,6400,Travel,Opex,-1.702,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-4.129,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.807,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.633,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-5.007,HFM
2023-06,FY2023,Q2,GRP-AUTO,Automotive,9100,Income Tax,Tax,-11.0,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,60.929,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,26.335,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-48.192,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-7.086,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.622,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.528,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.838,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-2.155,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.345,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.44,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.563,HFM
2023-06,FY2023,Q2,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.246,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,89.824,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,37.508,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-68.529,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-10.182,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.762,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,6300,R&D,Opex,-5.04,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,6400,Travel,Opex,-1.22,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-2.989,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,6600,General & Admin,Opex,-2.058,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,7100,Depreciation,D&A,-6.306,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.908,HFM
2023-07,FY2023,Q3,GRP-ELEC,Electronics,9100,Income Tax,Tax,-7.63,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,124.887,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,54.523,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-99.037,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-14.331,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,6200,Marketing,Opex,-5.224,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,6300,R&D,Opex,-7.29,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,6400,Travel,Opex,-1.767,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,6500,IT & Infrastructure,Opex,-4.241,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,6600,General & Admin,Opex,-2.73,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,7100,Depreciation,D&A,-8.447,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,8100,Interest Expense,Finance,-5.318,HFM
2023-07,FY2023,Q3,GRP-AUTO,Automotive,9100,Income Tax,Tax,-11.027,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,4000,Product Revenue,Revenue,63.772,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,4100,Service Revenue,Revenue,25.975,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,5000,Cost of Goods Sold,COGS,-49.337,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,6100,Salaries & Wages,Opex,-7.264,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,6200,Marketing,Opex,-2.606,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,6300,R&D,Opex,-3.494,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,6400,Travel,Opex,-0.89,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,6500,IT & Infrastructure,Opex,-2.113,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,6600,General & Admin,Opex,-1.369,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,7100,Depreciation,D&A,-4.3,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,8100,Interest Expense,Finance,-2.709,HFM
2023-07,FY2023,Q3,GRP-HEAL,Healthcare,9100,Income Tax,Tax,-5.363,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,4000,Product Revenue,Revenue,86.843,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,4100,Service Revenue,Revenue,39.108,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,5000,Cost of Goods Sold,COGS,-71.992,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,6100,Salaries & Wages,Opex,-10.471,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,6200,Marketing,Opex,-3.951,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,6300,R&D,Opex,-5.294,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,6400,Travel,Opex,-1.269,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,6500,IT & Infrastructure,Opex,-3.067,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,6600,General & Admin,Opex,-2.003,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,7100,Depreciation,D&A,-6.145,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,8100,Interest Expense,Finance,-3.696,HFM
2023-08,FY2023,Q3,GRP-ELEC,Electronics,9100,Income Tax,Tax,-8.1,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,4000,Product Revenue,Revenue,124.633,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,4100,Service Revenue,Revenue,52.745,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,5000,Cost of Goods Sold,COGS,-95.111,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,6100,Salaries & Wages,Opex,-14.436,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,6200,Marketing,Opex,-5.176,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,6300,R&D,Opex,-7.197,HFM
2023-08,FY2023,Q3,GRP-AUTO,Automotive,6400,Travel,Opex,-1.839,HFM
