period,fiscal_year,fiscal_quarter,bu,region,account_code,account_name,account_category,amount_usd_mn,source
2023-01,FY2023,Q1,Healthcare,APAC,9100,Income Tax,Tax,-1.59,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,4000,Product Revenue,Revenue,18.145,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,4100,Service Revenue,Revenue,7.522,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,5000,Cost of Goods Sold,COGS,-15.804,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,6100,Salaries & Wages,Opex,-2.115,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,6200,Marketing,Opex,-0.734,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,6300,R&D,Opex,-0.971,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,6400,Travel,Opex,-0.246,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,6500,IT & Infrastructure,Opex,-0.648,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,6600,General & Admin,Opex,-0.444,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,7100,Depreciation,D&A,-1.301,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,8100,Interest Expense,Finance,-0.73,SAP-ECC
2023-01,FY2023,Q1,Healthcare,EMEA,9100,Income Tax,Tax,-1.615,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,4000,Product Revenue,Revenue,24.132,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,4100,Service Revenue,Revenue,9.551,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,5000,Cost of Goods Sold,COGS,-18.883,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,6100,Salaries & Wages,Opex,-2.697,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,6200,Marketing,Opex,-0.867,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,6300,R&D,Opex,-1.317,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,6400,Travel,Opex,-0.327,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,6500,IT & Infrastructure,Opex,-0.765,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,6600,General & Admin,Opex,-0.486,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,7100,Depreciation,D&A,-1.623,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,8100,Interest Expense,Finance,-0.884,SAP-ECC
2023-01,FY2023,Q1,Healthcare,Americas,9100,Income Tax,Tax,-1.957,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,4000,Product Revenue,Revenue,23.896,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,4100,Service Revenue,Revenue,11.161,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,5000,Cost of Goods Sold,COGS,-20.2,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,6100,Salaries & Wages,Opex,-2.638,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,6200,Marketing,Opex,-1.033,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,6300,R&D,Opex,-1.298,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,6400,Travel,Opex,-0.37,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,6500,IT & Infrastructure,Opex,-0.881,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,6600,General & Admin,Opex,-0.531,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,7100,Depreciation,D&A,-1.764,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,8100,Interest Expense,Finance,-1.053,SAP-ECC
2023-02,FY2023,Q1,Electronics,APAC,9100,Income Tax,Tax,-2.018,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,4000,Product Revenue,Revenue,28.024,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,4100,Service Revenue,Revenue,11.554,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,5000,Cost of Goods Sold,COGS,-22.079,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,6100,Salaries & Wages,Opex,-3.076,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,6200,Marketing,Opex,-1.045,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,6300,R&D,Opex,-1.482,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,6400,Travel,Opex,-0.35,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,6500,IT & Infrastructure,Opex,-0.988,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,6600,General & Admin,Opex,-0.653,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,7100,Depreciation,D&A,-2.025,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,8100,Interest Expense,Finance,-1.108,SAP-ECC
2023-02,FY2023,Q1,Electronics,EMEA,9100,Income Tax,Tax,-2.202,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,4000,Product Revenue,Revenue,34.29,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,4100,Service Revenue,Revenue,14.865,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,5000,Cost of Goods Sold,COGS,-23.378,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,6100,Salaries & Wages,Opex,-3.662,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,6200,Marketing,Opex,-1.271,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,6300,R&D,Opex,-1.921,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,6400,Travel,Opex,-0.481,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,6500,IT & Infrastructure,Opex,-1.029,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,6600,General & Admin,Opex,-0.731,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,7100,Depreciation,D&A,-2.315,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,8100,Interest Expense,Finance,-1.319,SAP-ECC
2023-02,FY2023,Q1,Electronics,Americas,9100,Income Tax,Tax,-3.059,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,4000,Product Revenue,Revenue,33.27,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,4100,Service Revenue,Revenue,13.714,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,5000,Cost of Goods Sold,COGS,-26.69,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,6100,Salaries & Wages,Opex,-4.013,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,6200,Marketing,Opex,-1.369,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,6300,R&D,Opex,-1.863,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,6400,Travel,Opex,-0.524,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,6500,IT & Infrastructure,Opex,-1.187,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,6600,General & Admin,Opex,-0.763,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,7100,Depreciation,D&A,-2.417,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,8100,Interest Expense,Finance,-1.348,SAP-ECC
2023-02,FY2023,Q1,Automotive,APAC,9100,Income Tax,Tax,-2.864,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,4000,Product Revenue,Revenue,36.399,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,4100,Service Revenue,Revenue,16.316,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,5000,Cost of Goods Sold,COGS,-28.032,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,6100,Salaries & Wages,Opex,-4.07,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,6200,Marketing,Opex,-1.483,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,6300,R&D,Opex,-2.192,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,6400,Travel,Opex,-0.51,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,6500,IT & Infrastructure,Opex,-1.378,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,6600,General & Admin,Opex,-0.912,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,7100,Depreciation,D&A,-2.472,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,8100,Interest Expense,Finance,-1.531,SAP-ECC
2023-02,FY2023,Q1,Automotive,EMEA,9100,Income Tax,Tax,-3.447,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,4000,Product Revenue,Revenue,42.686,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,4100,Service Revenue,Revenue,18.013,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,5000,Cost of Goods Sold,COGS,-38.082,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,6100,Salaries & Wages,Opex,-5.205,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,6200,Marketing,Opex,-1.918,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,6300,R&D,Opex,-2.7,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,6400,Travel,Opex,-0.678,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,6500,IT & Infrastructure,Opex,-1.457,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,6600,General & Admin,Opex,-0.954,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,7100,Depreciation,D&A,-3.173,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,8100,Interest Expense,Finance,-1.901,SAP-ECC
2023-02,FY2023,Q1,Automotive,Americas,9100,Income Tax,Tax,-3.992,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,4000,Product Revenue,Revenue,17.555,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,4100,Service Revenue,Revenue,7.452,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,5000,Cost of Goods Sold,COGS,-14.395,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,6100,Salaries & Wages,Opex,-1.79,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,6200,Marketing,Opex,-0.71,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,6300,R&D,Opex,-0.936,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,6400,Travel,Opex,-0.256,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,6500,IT & Infrastructure,Opex,-0.552,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,6600,General & Admin,Opex,-0.364,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,7100,Depreciation,D&A,-1.194,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,8100,Interest Expense,Finance,-0.713,SAP-ECC
2023-02,FY2023,Q1,Healthcare,APAC,9100,Income Tax,Tax,-1.446,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,4000,Product Revenue,Revenue,17.905,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,4100,Service Revenue,Revenue,8.637,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,5000,Cost of Goods Sold,COGS,-14.575,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,6100,Salaries & Wages,Opex,-2.28,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,6200,Marketing,Opex,-0.81,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,6300,R&D,Opex,-0.985,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,6400,Travel,Opex,-0.292,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,6500,IT & Infrastructure,Opex,-0.681,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,6600,General & Admin,Opex,-0.464,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,7100,Depreciation,D&A,-1.44,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,8100,Interest Expense,Finance,-0.853,SAP-ECC
2023-02,FY2023,Q1,Healthcare,EMEA,9100,Income Tax,Tax,-1.574,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,4000,Product Revenue,Revenue,22.431,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,4100,Service Revenue,Revenue,9.146,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,5000,Cost of Goods Sold,COGS,-17.358,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,6100,Salaries & Wages,Opex,-2.368,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,6200,Marketing,Opex,-0.943,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,6300,R&D,Opex,-1.396,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,6400,Travel,Opex,-0.308,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,6500,IT & Infrastructure,Opex,-0.81,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,6600,General & Admin,Opex,-0.51,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,7100,Depreciation,D&A,-1.584,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,8100,Interest Expense,Finance,-1.042,SAP-ECC
2023-02,FY2023,Q1,Healthcare,Americas,9100,Income Tax,Tax,-2.185,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,4000,Product Revenue,Revenue,24.677,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,4100,Service Revenue,Revenue,10.879,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,5000,Cost of Goods Sold,COGS,-18.017,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,6100,Salaries & Wages,Opex,-2.691,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,6200,Marketing,Opex,-1.135,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,6300,R&D,Opex,-1.416,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,6400,Travel,Opex,-0.352,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,6500,IT & Infrastructure,Opex,-0.875,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,6600,General & Admin,Opex,-0.514,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,7100,Depreciation,D&A,-1.771,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,8100,Interest Expense,Finance,-1.048,SAP-ECC
2023-03,FY2023,Q1,Electronics,APAC,9100,Income Tax,Tax,-2.319,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,4000,Product Revenue,Revenue,25.491,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,4100,Service Revenue,Revenue,12.591,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,5000,Cost of Goods Sold,COGS,-19.735,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,6100,Salaries & Wages,Opex,-2.929,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,6200,Marketing,Opex,-1.183,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,6300,R&D,Opex,-1.6,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,6400,Travel,Opex,-0.37,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,6500,IT & Infrastructure,Opex,-0.868,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,6600,General & Admin,Opex,-0.664,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,7100,Depreciation,D&A,-1.851,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,8100,Interest Expense,Finance,-1.183,SAP-ECC
2023-03,FY2023,Q1,Electronics,EMEA,9100,Income Tax,Tax,-2.476,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,4000,Product Revenue,Revenue,32.11,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,4100,Service Revenue,Revenue,14.17,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,5000,Cost of Goods Sold,COGS,-25.701,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,6100,Salaries & Wages,Opex,-4.012,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,6200,Marketing,Opex,-1.323,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,6300,R&D,Opex,-1.933,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,6400,Travel,Opex,-0.444,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,6500,IT & Infrastructure,Opex,-1.096,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,6600,General & Admin,Opex,-0.767,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,7100,Depreciation,D&A,-2.244,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,8100,Interest Expense,Finance,-1.35,SAP-ECC
2023-03,FY2023,Q1,Electronics,Americas,9100,Income Tax,Tax,-3.039,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,4000,Product Revenue,Revenue,31.602,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,4100,Service Revenue,Revenue,14.551,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,5000,Cost of Goods Sold,COGS,-29.265,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,6100,Salaries & Wages,Opex,-4.255,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,6200,Marketing,Opex,-1.355,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,6300,R&D,Opex,-1.855,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,6400,Travel,Opex,-0.468,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,6500,IT & Infrastructure,Opex,-1.263,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,6600,General & Admin,Opex,-0.835,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,7100,Depreciation,D&A,-2.609,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,8100,Interest Expense,Finance,-1.432,SAP-ECC
2023-03,FY2023,Q1,Automotive,APAC,9100,Income Tax,Tax,-2.868,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,4000,Product Revenue,Revenue,40.269,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,4100,Service Revenue,Revenue,16.88,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,5000,Cost of Goods Sold,COGS,-30.458,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,6100,Salaries & Wages,Opex,-4.721,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,6200,Marketing,Opex,-1.674,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,6300,R&D,Opex,-1.981,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,6400,Travel,Opex,-0.574,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,6500,IT & Infrastructure,Opex,-1.257,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,6600,General & Admin,Opex,-0.894,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,7100,Depreciation,D&A,-2.927,SAP-ECC
2023-03,FY2023,Q1,Automotive,EMEA,8100,Interest Expense,Finance,-1.523,SAP-ECC
